"","Date","Size","Price","Local_Amount","Currency"
"1","2018-12-17T10:00:51+00:00","9.5",280,280,"USD"
"2","2018-12-17T08:07:20+00:00","10.5",270,270,"USD"
"3","2018-12-17T07:52:56+00:00","13",289.4028,290,"USD"
"4","2018-12-17T07:32:29+00:00","11",290,290,"USD"
"5","2018-12-17T06:47:42+00:00","7.5",267,267,"USD"
"6","2018-12-17T06:42:49+00:00","5",293,293,"USD"
"7","2018-12-17T06:25:53+00:00","9",279,279,"USD"
"8","2018-12-17T06:19:32+00:00","7.5",267,267,"USD"
"9","2018-12-17T05:44:17+00:00","5",290,290,"USD"
"10","2018-12-17T05:24:58+00:00","8",269,269,"USD"
"11","2018-12-17T05:17:45+00:00","7",290,290,"USD"
"12","2018-12-17T04:53:30+00:00","8",268,268,"USD"
"13","2018-12-17T04:34:55+00:00","5.5",325,325,"USD"
"14","2018-12-17T04:24:01+00:00","11.5",299,299,"USD"
"15","2018-12-17T04:18:42+00:00","7",289,289,"USD"
"16","2018-12-17T03:38:15+00:00","12",290,290,"USD"
"17","2018-12-17T03:35:17+00:00","5.5",310,310,"USD"
"18","2018-12-17T03:31:55+00:00","9",279,279,"USD"
"19","2018-12-17T03:21:31+00:00","13",270,270,"USD"
"20","2018-12-17T03:15:54+00:00","7.5",260,260,"USD"
"21","2018-12-17T03:11:15+00:00","6.5",325,325,"USD"
"22","2018-12-17T03:03:51+00:00","7.5",266,266,"USD"
"23","2018-12-17T02:53:06+00:00","6",301,301,"USD"
"24","2018-12-17T02:47:31+00:00","10",283,283,"USD"
"25","2018-12-17T02:46:54+00:00","10.5",265,265,"USD"
"26","2018-12-17T02:46:54+00:00","7.5",266,266,"USD"
"27","2018-12-17T02:07:19+00:00","8.5",270,270,"USD"
"28","2018-12-17T02:03:10+00:00","10",260,260,"USD"
"29","2018-12-17T01:57:15+00:00","9",275,275,"USD"
"30","2018-12-17T01:55:34+00:00","14",268,268,"USD"
"31","2018-12-17T01:47:35+00:00","13",289,289,"USD"
"32","2018-12-17T01:40:25+00:00","11",285,285,"USD"
"33","2018-12-17T01:39:03+00:00","4.5",323,323,"USD"
"34","2018-12-17T00:59:49+00:00","5",290,290,"USD"
"35","2018-12-17T00:52:12+00:00","10",280,280,"USD"
"36","2018-12-17T00:49:41+00:00","9.5",279,279,"USD"
"37","2018-12-17T00:43:34+00:00","10",277,277,"USD"
"38","2018-12-17T00:33:15+00:00","12",291,291,"USD"
"39","2018-12-17T00:07:03+00:00","9",278,278,"USD"
"40","2018-12-16T23:54:53+00:00","11",290,290,"USD"
"41","2018-12-16T23:52:28+00:00","10.5",275,275,"USD"
"42","2018-12-16T23:49:10+00:00","8.5",275,275,"USD"
"43","2018-12-16T23:48:27+00:00","6",300.3698,301,"USD"
"44","2018-12-16T23:45:25+00:00","8.5",275,275,"USD"
"45","2018-12-16T23:43:34+00:00","11.5",300,300,"USD"
"46","2018-12-16T23:43:14+00:00","6",300,300,"USD"
"47","2018-12-16T23:36:40+00:00","10",275,275,"USD"
"48","2018-12-16T23:35:31+00:00","11",290,290,"USD"
"49","2018-12-16T23:34:16+00:00","9.5",279,279,"USD"
"50","2018-12-16T23:20:08+00:00","10.5",274,274,"USD"
"51","2018-12-16T23:12:37+00:00","5",287,287,"USD"
"52","2018-12-16T23:09:24+00:00","11",290,290,"USD"
"53","2018-12-16T23:09:10+00:00","10.5",246,246,"USD"
"54","2018-12-16T23:07:27+00:00","10.5",270,270,"USD"
"55","2018-12-16T23:02:55+00:00","11.5",295,295,"USD"
"56","2018-12-16T22:59:48+00:00","10",272,272,"USD"
"57","2018-12-16T22:22:04+00:00","8.5",275,275,"USD"
"58","2018-12-16T22:21:26+00:00","12",285,285,"USD"
"59","2018-12-16T22:02:38+00:00","9.5",279,279,"USD"
"60","2018-12-16T21:57:49+00:00","12",280,280,"USD"
"61","2018-12-16T21:35:10+00:00","9",279,279,"USD"
"62","2018-12-16T21:30:06+00:00","11",280,280,"USD"
"63","2018-12-16T21:08:36+00:00","4.5",322,322,"USD"
"64","2018-12-16T20:53:00+00:00","10.5",270,270,"USD"
"65","2018-12-16T20:18:28+00:00","8.5",274,274,"USD"
"66","2018-12-16T20:18:11+00:00","9",279,279,"USD"
"67","2018-12-16T20:07:05+00:00","9.5",279.3438,280,"USD"
"68","2018-12-16T20:05:04+00:00","7.5",267,267,"USD"
"69","2018-12-16T19:42:54+00:00","10.5",251,251,"USD"
"70","2018-12-16T19:32:26+00:00","8.5",270,270,"USD"
"71","2018-12-16T19:26:54+00:00","7.5",267,267,"USD"
"72","2018-12-16T19:21:37+00:00","11.5",285,285,"USD"
"73","2018-12-16T19:18:15+00:00","9",273,273,"USD"
"74","2018-12-16T19:04:26+00:00","10.5",274,274,"USD"
"75","2018-12-16T19:03:58+00:00","6.5",329,329,"USD"
"76","2018-12-16T18:55:58+00:00","8.5",273,273,"USD"
"77","2018-12-16T18:41:00+00:00","11.5",299,299,"USD"
"78","2018-12-16T18:32:00+00:00","7",290,290,"USD"
"79","2018-12-16T18:14:10+00:00","8.5",273.6891,274,"USD"
"80","2018-12-16T18:02:08+00:00","10",275,275,"USD"
"81","2018-12-16T17:41:04+00:00","12",290,290,"USD"
"82","2018-12-16T17:33:39+00:00","11",284,284,"USD"
"83","2018-12-16T17:19:57+00:00","11.5",298,298,"USD"
"84","2018-12-16T17:17:31+00:00","7.5",267,267,"USD"
"85","2018-12-16T17:13:52+00:00","7",285,285,"USD"
"86","2018-12-16T17:07:46+00:00","10",277.0819,278,"USD"
"87","2018-12-16T16:56:49+00:00","10",275,275,"USD"
"88","2018-12-16T16:56:47+00:00","6",300,300,"USD"
"89","2018-12-16T16:39:46+00:00","7.5",267,267,"USD"
"90","2018-12-16T16:10:07+00:00","5",293,293,"USD"
"91","2018-12-16T16:08:09+00:00","6.5",312,312,"USD"
"92","2018-12-16T16:01:45+00:00","10",274,274,"USD"
"93","2018-12-16T15:58:38+00:00","9.5",261,261,"USD"
"94","2018-12-16T15:49:20+00:00","7",285,285,"USD"
"95","2018-12-16T15:35:42+00:00","12.5",299,299,"USD"
"96","2018-12-16T15:13:27+00:00","10.5",273,273,"USD"
"97","2018-12-16T15:11:38+00:00","9.5",277,277,"USD"
"98","2018-12-16T14:47:18+00:00","9",279,279,"USD"
"99","2018-12-16T14:39:30+00:00","14",272,272,"USD"
"100","2018-12-16T14:27:52+00:00","9",275,275,"USD"
"101","2018-12-16T14:16:01+00:00","9",270,270,"USD"
"102","2018-12-16T14:14:52+00:00","9.5",276.4598,277,"USD"
"103","2018-12-16T13:57:02+00:00","10",273,273,"USD"
"104","2018-12-16T13:33:41+00:00","11",285,285,"USD"
"105","2018-12-16T12:02:19+00:00","11.5",295,295,"USD"
"106","2018-12-16T10:31:23+00:00","13",289,289,"USD"
"107","2018-12-16T10:26:17+00:00","9",275.678,276,"USD"
"108","2018-12-16T09:22:26+00:00","10",270,270,"USD"
"109","2018-12-16T09:22:13+00:00","5",295,295,"USD"
"110","2018-12-16T09:14:53+00:00","5.5",340,340,"USD"
"111","2018-12-16T09:02:58+00:00","5",261,261,"USD"
"112","2018-12-16T09:02:02+00:00","6",300,300,"USD"
"113","2018-12-16T08:45:28+00:00","10.5",265,265,"USD"
"114","2018-12-16T08:18:00+00:00","6",299,299,"USD"
"115","2018-12-16T08:04:09+00:00","12",289,289,"USD"
"116","2018-12-16T07:46:27+00:00","5",295,295,"USD"
"117","2018-12-16T06:57:42+00:00","11",289,289,"USD"
"118","2018-12-16T06:22:20+00:00","7",290,290,"USD"
"119","2018-12-16T06:16:51+00:00","13",285,285,"USD"
"120","2018-12-16T05:50:32+00:00","8.5",274,274,"USD"
"121","2018-12-16T05:44:03+00:00","9.5",275,275,"USD"
"122","2018-12-16T05:28:05+00:00","5",275,275,"USD"
"123","2018-12-16T04:55:39+00:00","10",272,272,"USD"
"124","2018-12-16T04:42:12+00:00","14",272,272,"USD"
"125","2018-12-16T04:35:10+00:00","13",288,288,"USD"
"126","2018-12-16T04:31:10+00:00","10.5",275,275,"USD"
"127","2018-12-16T04:08:53+00:00","7",289,289,"USD"
"128","2018-12-16T03:57:08+00:00","11.5",294,294,"USD"
"129","2018-12-16T03:02:39+00:00","5",270,270,"USD"
"130","2018-12-16T02:46:31+00:00","6.5",325,325,"USD"
"131","2018-12-16T02:42:56+00:00","6",300,300,"USD"
"132","2018-12-16T02:36:54+00:00","13",290,290,"USD"
"133","2018-12-16T02:35:13+00:00","8.5",275,275,"USD"
"134","2018-12-16T02:31:09+00:00","10.5",265,265,"USD"
"135","2018-12-16T02:21:44+00:00","6.5",315,315,"USD"
"136","2018-12-16T02:21:29+00:00","8",267,267,"USD"
"137","2018-12-16T02:17:41+00:00","13",290,290,"USD"
"138","2018-12-16T02:17:12+00:00","11",300,300,"USD"
"139","2018-12-16T02:05:46+00:00","12",290,290,"USD"
"140","2018-12-16T02:00:32+00:00","11",300,300,"USD"
"141","2018-12-16T01:52:56+00:00","5.5",339,339,"USD"
"142","2018-12-16T01:37:02+00:00","5",296,296,"USD"
"143","2018-12-16T01:27:31+00:00","5.5",339,339,"USD"
"144","2018-12-16T01:18:41+00:00","12",290,290,"USD"
"145","2018-12-16T01:14:31+00:00","6",302,302,"USD"
"146","2018-12-16T01:12:07+00:00","4.5",320,320,"USD"
"147","2018-12-16T01:11:41+00:00","10.5",275,275,"USD"
"148","2018-12-16T01:06:59+00:00","10.5",274,274,"USD"
"149","2018-12-16T01:06:53+00:00","9",279,279,"USD"
"150","2018-12-16T00:30:19+00:00","10.5",273,273,"USD"
"151","2018-12-16T00:26:49+00:00","8",271,271,"USD"
"152","2018-12-16T00:22:39+00:00","10",276,276,"USD"
"153","2018-12-16T00:19:47+00:00","7",290,290,"USD"
"154","2018-12-16T00:15:12+00:00","11",295,295,"USD"
"155","2018-12-16T00:14:45+00:00","7",290,290,"USD"
"156","2018-12-15T23:55:46+00:00","10.5",270,270,"USD"
"157","2018-12-15T23:43:46+00:00","6.5",325,325,"USD"
"158","2018-12-15T23:41:59+00:00","7.5",269,269,"USD"
"159","2018-12-15T23:34:14+00:00","6",300,300,"USD"
"160","2018-12-15T23:33:02+00:00","10.5",260,260,"USD"
"161","2018-12-15T23:10:13+00:00","8",270,270,"USD"
"162","2018-12-15T23:06:17+00:00","11.5",290,290,"USD"
"163","2018-12-15T23:03:09+00:00","5.5",338,338,"USD"
"164","2018-12-15T22:52:33+00:00","6",303,303,"USD"
"165","2018-12-15T22:45:05+00:00","11",299,299,"USD"
"166","2018-12-15T22:43:31+00:00","12",290,290,"USD"
"167","2018-12-15T22:38:18+00:00","8.5",265,265,"USD"
"168","2018-12-15T22:33:54+00:00","8",269,269,"USD"
"169","2018-12-15T22:32:45+00:00","13",288,288,"USD"
"170","2018-12-15T22:25:39+00:00","12",290,290,"USD"
"171","2018-12-15T22:17:02+00:00","9.5",275,275,"USD"
"172","2018-12-15T22:15:25+00:00","7.5",260,260,"USD"
"173","2018-12-15T22:08:19+00:00","11",299,299,"USD"
"174","2018-12-15T21:58:34+00:00","6.5",320,320,"USD"
"175","2018-12-15T21:42:51+00:00","10.5",274,274,"USD"
"176","2018-12-15T21:40:58+00:00","5.5",337,337,"USD"
"177","2018-12-15T21:39:50+00:00","10.5",261,261,"USD"
"178","2018-12-15T21:37:12+00:00","12",290,290,"USD"
"179","2018-12-15T21:33:43+00:00","12",288,288,"USD"
"180","2018-12-15T21:22:16+00:00","10",283,283,"USD"
"181","2018-12-15T21:15:58+00:00","10",282,282,"USD"
"182","2018-12-15T21:14:55+00:00","13",289,289,"USD"
"183","2018-12-15T21:08:10+00:00","12",288,288,"USD"
"184","2018-12-15T20:55:56+00:00","4.5",318,318,"USD"
"185","2018-12-15T20:54:03+00:00","10",280,280,"USD"
"186","2018-12-15T20:54:01+00:00","6",303,303,"USD"
"187","2018-12-15T20:48:01+00:00","10",260,260,"USD"
"188","2018-12-15T20:42:04+00:00","12",285,285,"USD"
"189","2018-12-15T20:27:54+00:00","10.5",270,270,"USD"
"190","2018-12-15T20:15:01+00:00","6.5",320,320,"USD"
"191","2018-12-15T20:01:24+00:00","9",279.3438,280,"USD"
"192","2018-12-15T19:44:44+00:00","11",290,290,"USD"
"193","2018-12-15T19:37:42+00:00","9.5",270,270,"USD"
"194","2018-12-15T19:25:50+00:00","6.5",319,319,"USD"
"195","2018-12-15T19:25:32+00:00","8.5",260,260,"USD"
"196","2018-12-15T19:08:34+00:00","10.5",274,274,"USD"
"197","2018-12-15T19:04:28+00:00","9",265,265,"USD"
"198","2018-12-15T18:58:34+00:00","13",295,295,"USD"
"199","2018-12-15T18:58:29+00:00","10.5",270,270,"USD"
"200","2018-12-15T18:57:23+00:00","9.5",270,270,"USD"
"201","2018-12-15T18:31:07+00:00","13",294,294,"USD"
"202","2018-12-15T18:19:41+00:00","9",278.2129,279,"USD"
"203","2018-12-15T18:07:09+00:00","7.5",240,240,"USD"
"204","2018-12-15T18:06:54+00:00","8",250,250,"USD"
"205","2018-12-15T18:06:29+00:00","7.5",240,240,"USD"
"206","2018-12-15T18:06:16+00:00","7.5",245,245,"USD"
"207","2018-12-15T18:06:05+00:00","7.5",245,245,"USD"
"208","2018-12-15T18:04:44+00:00","8",256,256,"USD"
"209","2018-12-15T18:04:30+00:00","7.5",250,250,"USD"
"210","2018-12-15T18:02:38+00:00","7.5",265,265,"USD"
"211","2018-12-15T17:56:15+00:00","6",305,305,"USD"
"212","2018-12-15T17:55:48+00:00","6",304,304,"USD"
"213","2018-12-15T17:43:09+00:00","14",270,270,"USD"
"214","2018-12-15T17:41:58+00:00","10.5",270,270,"USD"
"215","2018-12-15T17:38:17+00:00","6",304,304,"USD"
"216","2018-12-15T17:25:15+00:00","8.5",250,250,"USD"
