"","Date","Time","Size","Price","Local_Amount","Currency","Name","Brand","Year","Month","Day","Number_Price"
"1",2018-12-17,"10:00:51+00:00","9.5",280,280,"USD","Yeezy 700","Adidas","2018","12","17",280
"2",2018-12-17,"08:07:20+00:00","10.5",270,270,"USD","Yeezy 700","Adidas","2018","12","17",270
"3",2018-12-17,"07:52:56+00:00","13",289.4028,290,"USD","Yeezy 700","Adidas","2018","12","17",289.4028
"4",2018-12-17,"07:32:29+00:00","11",290,290,"USD","Yeezy 700","Adidas","2018","12","17",290
"5",2018-12-17,"06:47:42+00:00","7.5",267,267,"USD","Yeezy 700","Adidas","2018","12","17",267
"6",2018-12-17,"06:42:49+00:00","5",293,293,"USD","Yeezy 700","Adidas","2018","12","17",293
"7",2018-12-17,"06:25:53+00:00","9",279,279,"USD","Yeezy 700","Adidas","2018","12","17",279
"8",2018-12-17,"06:19:32+00:00","7.5",267,267,"USD","Yeezy 700","Adidas","2018","12","17",267
"9",2018-12-17,"05:44:17+00:00","5",290,290,"USD","Yeezy 700","Adidas","2018","12","17",290
"10",2018-12-17,"05:24:58+00:00","8",269,269,"USD","Yeezy 700","Adidas","2018","12","17",269
"11",2018-12-17,"05:17:45+00:00","7",290,290,"USD","Yeezy 700","Adidas","2018","12","17",290
"12",2018-12-17,"04:53:30+00:00","8",268,268,"USD","Yeezy 700","Adidas","2018","12","17",268
"13",2018-12-17,"04:34:55+00:00","5.5",325,325,"USD","Yeezy 700","Adidas","2018","12","17",325
"14",2018-12-17,"04:24:01+00:00","11.5",299,299,"USD","Yeezy 700","Adidas","2018","12","17",299
"15",2018-12-17,"04:18:42+00:00","7",289,289,"USD","Yeezy 700","Adidas","2018","12","17",289
"16",2018-12-17,"03:38:15+00:00","12",290,290,"USD","Yeezy 700","Adidas","2018","12","17",290
"17",2018-12-17,"03:35:17+00:00","5.5",310,310,"USD","Yeezy 700","Adidas","2018","12","17",310
"18",2018-12-17,"03:31:55+00:00","9",279,279,"USD","Yeezy 700","Adidas","2018","12","17",279
"19",2018-12-17,"03:21:31+00:00","13",270,270,"USD","Yeezy 700","Adidas","2018","12","17",270
"20",2018-12-17,"03:15:54+00:00","7.5",260,260,"USD","Yeezy 700","Adidas","2018","12","17",260
"21",2018-12-17,"03:11:15+00:00","6.5",325,325,"USD","Yeezy 700","Adidas","2018","12","17",325
"22",2018-12-17,"03:03:51+00:00","7.5",266,266,"USD","Yeezy 700","Adidas","2018","12","17",266
"23",2018-12-17,"02:53:06+00:00","6",301,301,"USD","Yeezy 700","Adidas","2018","12","17",301
"24",2018-12-17,"02:47:31+00:00","10",283,283,"USD","Yeezy 700","Adidas","2018","12","17",283
"25",2018-12-17,"02:46:54+00:00","10.5",265,265,"USD","Yeezy 700","Adidas","2018","12","17",265
"26",2018-12-17,"02:46:54+00:00","7.5",266,266,"USD","Yeezy 700","Adidas","2018","12","17",266
"27",2018-12-17,"02:07:19+00:00","8.5",270,270,"USD","Yeezy 700","Adidas","2018","12","17",270
"28",2018-12-17,"02:03:10+00:00","10",260,260,"USD","Yeezy 700","Adidas","2018","12","17",260
"29",2018-12-17,"01:57:15+00:00","9",275,275,"USD","Yeezy 700","Adidas","2018","12","17",275
"30",2018-12-17,"01:55:34+00:00","14",268,268,"USD","Yeezy 700","Adidas","2018","12","17",268
"31",2018-12-17,"01:47:35+00:00","13",289,289,"USD","Yeezy 700","Adidas","2018","12","17",289
"32",2018-12-17,"01:40:25+00:00","11",285,285,"USD","Yeezy 700","Adidas","2018","12","17",285
"33",2018-12-17,"01:39:03+00:00","4.5",323,323,"USD","Yeezy 700","Adidas","2018","12","17",323
