"","Date","Size","Price","Local_Amount","Currency"
"1","2018-12-17T10:32:43+00:00","11",379,379,"USD"
"2","2018-12-17T10:08:40+00:00","9",396,396,"USD"
"3","2018-12-17T07:15:15+00:00","7.5",440,440,"USD"
"4","2018-12-17T07:03:44+00:00","11.5",394,394,"USD"
"5","2018-12-17T06:44:17+00:00","11",379,379,"USD"
"6","2018-12-17T06:42:32+00:00","8",400.2917,401,"USD"
"7","2018-12-17T06:07:50+00:00","5",440,440,"USD"
"8","2018-12-17T05:53:35+00:00","10",378,378,"USD"
"9","2018-12-17T05:30:00+00:00","9.5",395,395,"USD"
"10","2018-12-17T05:10:30+00:00","8.5",390,390,"USD"
"11","2018-12-17T05:06:44+00:00","5.5",450,450,"USD"
"12","2018-12-17T05:01:28+00:00","5.5",445,445,"USD"
"13","2018-12-17T04:59:03+00:00","10",350,350,"USD"
"14","2018-12-17T04:56:49+00:00","11",377,377,"USD"
"15","2018-12-17T04:55:07+00:00","4",395,395,"USD"
"16","2018-12-17T04:51:19+00:00","8.5",410,410,"USD"
"17","2018-12-17T04:38:11+00:00","10",377,377,"USD"
"18","2018-12-17T04:21:54+00:00","9",396,396,"USD"
"19","2018-12-17T04:15:26+00:00","10",375,375,"USD"
"20","2018-12-17T04:06:37+00:00","11",378,378,"USD"
"21","2018-12-17T04:05:33+00:00","9",396,396,"USD"
"22","2018-12-17T03:57:18+00:00","10.5",375,375,"USD"
"23","2018-12-17T03:54:10+00:00","9.5",394,394,"USD"
"24","2018-12-17T03:42:24+00:00","7",440,440,"USD"
"25","2018-12-17T03:37:03+00:00","11.5",394,394,"USD"
"26","2018-12-17T03:29:58+00:00","8.5",400,400,"USD"
"27","2018-12-17T03:05:21+00:00","6",448,448,"USD"
"28","2018-12-17T03:04:42+00:00","10.5",380,380,"USD"
"29","2018-12-17T03:02:47+00:00","12",375,375,"USD"
"30","2018-12-17T02:50:06+00:00","11",350.1481,351,"USD"
"31","2018-12-17T02:28:21+00:00","10.5",388,388,"USD"
"32","2018-12-17T02:23:01+00:00","11.5",394,394,"USD"
"33","2018-12-17T02:03:50+00:00","11",379,379,"USD"
"34","2018-12-17T01:40:44+00:00","11.5",380,380,"USD"
"35","2018-12-17T01:18:38+00:00","9.5",394,394,"USD"
"36","2018-12-17T01:15:23+00:00","11.5",394.3565,395,"USD"
"37","2018-12-17T01:14:02+00:00","8.5",400,400,"USD"
"38","2018-12-17T01:12:57+00:00","10",380,380,"USD"
"39","2018-12-17T01:07:34+00:00","6",445,445,"USD"
"40","2018-12-17T00:58:10+00:00","4",386,386,"USD"
"41","2018-12-17T00:44:27+00:00","11",380,380,"USD"
"42","2018-12-17T00:25:46+00:00","12",375,375,"USD"
"43","2018-12-17T00:23:33+00:00","11",375,375,"USD"
"44","2018-12-17T00:16:11+00:00","10",367.5577,368,"USD"
"45","2018-12-17T00:14:03+00:00","8.5",413,413,"USD"
"46","2018-12-16T23:34:42+00:00","10",380,380,"USD"
