"","Date","Size","Price","Local_Amount","Currency"
"1","2018-12-17T06:57:40+00:00","14",125,125,"USD"
"2","2018-12-17T04:45:18+00:00","14",120,120,"USD"
"3","2018-12-17T03:40:00+00:00","14",117,117,"USD"
"4","2018-12-16T14:18:02+00:00","10.5",170,170,"USD"
"5","2018-12-15T21:40:33+00:00","12",200,200,"USD"
"6","2018-12-15T07:47:24+00:00","9.5",165,165,"USD"
"7","2018-12-15T06:09:56+00:00","9.5",158,158,"USD"
"8","2018-12-15T02:51:08+00:00","11",140,140,"USD"
"9","2018-12-14T16:05:06+00:00","14",115,115,"USD"
"10","2018-12-14T15:10:36+00:00","10.5",163,163,"USD"
"11","2018-12-14T02:42:33+00:00","7.5",185,185,"USD"
"12","2018-12-13T20:15:02+00:00","10",175,175,"USD"
"13","2018-12-13T06:05:13+00:00","13",185,185,"USD"
"14","2018-12-13T04:32:53+00:00","12",150,150,"USD"
"15","2018-12-12T21:33:37+00:00","10",174,174,"USD"
"16","2018-12-12T18:56:08+00:00","10.5",125,125,"USD"
"17","2018-12-12T18:55:48+00:00","10.5",130,130,"USD"
"18","2018-12-11T23:21:55+00:00","10.5",132,132,"USD"
"19","2018-12-11T14:20:02+00:00","8.5",147,147,"USD"
"20","2018-12-11T05:40:03+00:00","10.5",158,158,"USD"
"21","2018-12-10T11:17:54+00:00","11",140.6623,141,"USD"
"22","2018-12-10T01:09:50+00:00","10.5",153,153,"USD"
"23","2018-12-09T17:05:00+00:00","14",80,80,"USD"
"24","2018-12-08T21:49:53+00:00","10",174,174,"USD"
"25","2018-12-08T21:41:03+00:00","9",190,190,"USD"
"26","2018-12-08T06:17:18+00:00","11.5",149,149,"USD"
"27","2018-12-08T04:18:16+00:00","9.5",189,189,"USD"
"28","2018-12-07T16:13:11+00:00","11",165,165,"USD"
"29","2018-12-07T13:44:40+00:00","7.5",137,137,"USD"
"30","2018-12-07T04:02:16+00:00","11",155,155,"USD"
"31","2018-12-06T23:33:39+00:00","8.5",165,165,"USD"
"32","2018-12-06T22:28:03+00:00","12",225,225,"USD"
"33","2018-12-06T20:34:29+00:00","10.5",145,145,"USD"
"34","2018-12-06T14:10:26+00:00","10",170,170,"USD"
"35","2018-12-06T00:13:54+00:00","13",102.5108,103,"USD"
"36","2018-12-05T23:08:37+00:00","11.5",150,150,"USD"
"37","2018-12-05T21:43:00+00:00","6.5",180,180,"USD"
"38","2018-12-05T18:05:27+00:00","10",150,150,"USD"
"39","2018-12-05T18:01:00+00:00","6",185,185,"USD"
"40","2018-12-05T15:03:54+00:00","8.5",146,146,"USD"
"41","2018-12-05T06:44:01+00:00","4.5",250,250,"USD"
"42","2018-12-05T03:31:33+00:00","10.5",155,155,"USD"
"43","2018-12-04T20:20:57+00:00","11",125,125,"USD"
"44","2018-12-04T20:06:20+00:00","11.5",157,157,"USD"
"45","2018-12-04T12:10:36+00:00","9.5",125,125,"USD"
"46","2018-12-04T03:30:04+00:00","12",150.7741,151,"USD"
"47","2018-12-04T01:09:14+00:00","10.5",153,153,"USD"
"48","2018-12-03T12:30:47+00:00","8",178,178,"USD"
"49","2018-12-03T05:18:23+00:00","11",165,165,"USD"
"50","2018-12-03T03:32:29+00:00","11",164,164,"USD"
"51","2018-12-02T19:16:37+00:00","10.5",140,140,"USD"
"52","2018-11-30T20:34:11+00:00","10",130,130,"USD"
"53","2018-11-30T01:27:53+00:00","8",182,182,"USD"
"54","2018-11-29T18:48:41+00:00","10.5",165,165,"USD"
"55","2018-11-29T06:49:16+00:00","10.5",160,160,"USD"
"56","2018-11-29T01:34:35+00:00","12",175,175,"USD"
"57","2018-11-28T19:32:02+00:00","11",150,150,"USD"
"58","2018-11-28T18:47:45+00:00","11",125,125,"USD"
"59","2018-11-27T07:41:01+00:00","8",175,175,"USD"
"60","2018-11-27T04:46:27+00:00","8.5",160,160,"USD"
"61","2018-11-27T01:57:18+00:00","10",157,157,"USD"
"62","2018-11-26T16:07:55+00:00","5",187,187,"USD"
"63","2018-11-26T15:28:50+00:00","8",181,181,"USD"
"64","2018-11-26T00:41:19+00:00","12",136,136,"USD"
"65","2018-11-25T03:18:39+00:00","10.5",164,164,"USD"
"66","2018-11-25T01:35:17+00:00","11.5",188,188,"USD"
"67","2018-11-24T06:20:29+00:00","8",165,165,"USD"
"68","2018-11-24T04:58:55+00:00","8.5",175,175,"USD"
"69","2018-11-24T04:51:38+00:00","9",167,167,"USD"
"70","2018-11-23T21:27:02+00:00","11",159,159,"USD"
"71","2018-11-23T20:11:25+00:00","10.5",163,163,"USD"
"72","2018-11-23T19:22:34+00:00","10.5",160,160,"USD"
"73","2018-11-23T16:51:19+00:00","14",105,105,"USD"
"74","2018-11-23T05:20:57+00:00","10.5",160,160,"USD"
"75","2018-11-23T05:20:35+00:00","10.5",160,160,"USD"
"76","2018-11-23T04:26:43+00:00","5.5",170,170,"USD"
"77","2018-11-22T04:39:17+00:00","13",155,155,"USD"
"78","2018-11-21T16:40:50+00:00","12",140,140,"USD"
"79","2018-11-20T21:00:39+00:00","10",174,174,"USD"
"80","2018-11-20T06:24:42+00:00","10.5",160,160,"USD"
"81","2018-11-19T21:29:45+00:00","10.5",155.8195,156,"USD"
"82","2018-11-18T17:02:25+00:00","12",144,144,"USD"
"83","2018-11-17T19:04:38+00:00","10",174,174,"USD"
"84","2018-11-16T18:08:06+00:00","11.5",127,127,"USD"
"85","2018-11-15T16:14:38+00:00","10",150,150,"USD"
"86","2018-11-14T21:43:53+00:00","13",135,135,"USD"
"87","2018-11-14T18:03:28+00:00","10.5",160,160,"USD"
"88","2018-11-13T01:47:53+00:00","10.5",150,150,"USD"
"89","2018-11-13T00:57:13+00:00","8.5",184,184,"USD"
"90","2018-11-12T23:30:26+00:00","8.5",170,170,"USD"
"91","2018-11-12T07:14:07+00:00","9",223,223,"USD"
"92","2018-11-10T07:02:19+00:00","11.5",130,130,"USD"
"93","2018-11-10T06:39:27+00:00","10",140,140,"USD"
"94","2018-11-07T04:09:19+00:00","9",195,195,"USD"
"95","2018-11-06T14:43:23+00:00","9",190,190,"USD"
"96","2018-11-04T07:47:48+00:00","9.5",198,198,"USD"
"97","2018-11-03T17:32:13+00:00","10",125,125,"USD"
"98","2018-11-03T03:10:02+00:00","8.5",172,172,"USD"
"99","2018-11-02T15:40:26+00:00","9",190,190,"USD"
"100","2018-11-01T20:36:53+00:00","10.5",165,165,"USD"
"101","2018-11-01T11:25:18+00:00","8",185,185,"USD"
"102","2018-11-01T03:58:08+00:00","10",146,146,"USD"
"103","2018-11-01T01:13:15+00:00","10",155,155,"USD"
"104","2018-10-31T18:35:50+00:00","12",160,160,"USD"
"105","2018-10-31T17:54:27+00:00","10",141,141,"USD"
"106","2018-10-30T18:55:45+00:00","10.5",169,169,"USD"
"107","2018-10-29T14:23:37+00:00","8.5",180,180,"USD"
"108","2018-10-29T01:54:15+00:00","10.5",160,160,"USD"
"109","2018-10-27T23:17:33+00:00","11.5",160,160,"USD"
"110","2018-10-26T15:50:16+00:00","9",189,189,"USD"
"111","2018-10-25T14:16:42+00:00","11.5",135,135,"USD"
"112","2018-10-25T11:15:20+00:00","8",130,130,"USD"
"113","2018-10-25T00:59:23+00:00","11.5",150,150,"USD"
"114","2018-10-25T00:42:17+00:00","9.5",180,180,"USD"
"115","2018-10-24T16:45:49+00:00","11",165,165,"USD"
"116","2018-10-24T11:10:42+00:00","10.5",135,135,"USD"
"117","2018-10-22T17:13:08+00:00","9.5",160,160,"USD"
"118","2018-10-22T15:30:52+00:00","9.5",180,180,"USD"
"119","2018-10-20T21:43:28+00:00","9",189,189,"USD"
"120","2018-10-19T19:25:27+00:00","8.5",170,170,"USD"
"121","2018-10-19T05:01:13+00:00","10.5",161,161,"USD"
"122","2018-10-19T00:55:35+00:00","9",189,189,"USD"
"123","2018-10-18T20:03:45+00:00","13",105,105,"USD"
"124","2018-10-18T17:09:20+00:00","10.5",130,130,"USD"
"125","2018-10-16T01:40:34+00:00","7.5",165,165,"USD"
"126","2018-10-15T18:57:55+00:00","10.5",140,140,"USD"
"127","2018-10-14T22:55:47+00:00","10",160,160,"USD"
"128","2018-10-14T18:52:03+00:00","10",160,160,"USD"
"129","2018-10-14T01:42:54+00:00","9.5",185,185,"USD"
"130","2018-10-13T20:02:40+00:00","13",116,116,"USD"
"131","2018-10-13T16:58:26+00:00","8.5",175,175,"USD"
"132","2018-10-13T00:30:16+00:00","10.5",160,160,"USD"
"133","2018-10-12T21:08:32+00:00","10",127,127,"USD"
"134","2018-10-12T19:22:59+00:00","10",135,135,"USD"
"135","2018-10-12T19:05:40+00:00","9",157,157,"USD"
"136","2018-10-12T18:05:05+00:00","8",150,150,"USD"
