"","Date","Size","Price","Local_Amount","Currency"
"1","2018-12-15T01:18:23+00:00","9.5",276,276,"USD"
"2","2018-12-11T21:35:22+00:00","9.5",280,280,"USD"
"3","2018-12-10T00:46:28+00:00","9.5",275,275,"USD"
"4","2018-12-05T00:29:49+00:00","9.5",291,291,"USD"
"5","2018-12-02T15:40:30+00:00","9.5",285,285,"USD"
"6","2018-12-01T02:39:45+00:00","9.5",283,283,"USD"
"7","2018-11-26T01:49:32+00:00","9.5",350,350,"USD"
"8","2018-11-26T01:48:35+00:00","9.5",341,341,"USD"
"9","2018-11-26T01:48:11+00:00","9.5",325,325,"USD"
"10","2018-11-26T01:47:47+00:00","9.5",298,298,"USD"
"11","2018-11-25T15:11:03+00:00","9.5",243,243,"USD"
"12","2018-11-25T14:49:16+00:00","9.5",266,266,"USD"
"13","2018-11-25T14:46:21+00:00","9.5",269,269,"USD"
"14","2018-11-25T14:22:23+00:00","9.5",271,271,"USD"
"15","2018-11-25T14:13:42+00:00","9.5",272,272,"USD"
"16","2018-11-21T19:08:36+00:00","9.5",325,325,"USD"
"17","2018-11-18T22:26:36+00:00","9.5",275,275,"USD"
"18","2018-11-16T04:31:29+00:00","9.5",299,299,"USD"
"19","2018-11-16T04:27:09+00:00","9.5",266,266,"USD"
"20","2018-11-15T21:59:37+00:00","9.5",300,300,"USD"
"21","2018-11-09T03:55:52+00:00","9.5",300,300,"USD"
"22","2018-11-06T06:09:02+00:00","9.5",290,290,"USD"
"23","2018-11-05T17:56:35+00:00","9.5",258,258,"USD"
"24","2018-11-04T04:43:48+00:00","9.5",275,275,"USD"
"25","2018-11-03T03:26:39+00:00","9.5",275,275,"USD"
"26","2018-11-02T16:44:38+00:00","9.5",260,260,"USD"
"27","2018-11-02T14:49:22+00:00","9.5",259,259,"USD"
"28","2018-11-01T01:20:45+00:00","9.5",258,258,"USD"
"29","2018-10-31T21:58:43+00:00","9.5",260,260,"USD"
"30","2018-10-28T12:44:15+00:00","9.5",263,263,"USD"
"31","2018-10-25T08:47:57+00:00","9.5",270,270,"USD"
"32","2018-10-25T00:57:18+00:00","9.5",271,271,"USD"
"33","2018-10-20T23:29:45+00:00","9.5",298,298,"USD"
"34","2018-10-15T16:45:01+00:00","9.5",297,297,"USD"
"35","2018-10-14T16:21:37+00:00","9.5",299,299,"USD"
"36","2018-10-13T20:56:50+00:00","9.5",278,278,"USD"
"37","2018-10-11T23:19:46+00:00","9.5",279,279,"USD"
"38","2018-10-11T19:02:51+00:00","9.5",295,295,"USD"
"39","2018-10-09T19:29:54+00:00","9.5",280,280,"USD"
"40","2018-10-07T19:33:23+00:00","9.5",285,285,"USD"
"41","2018-10-05T04:10:50+00:00","9.5",280,280,"USD"
"42","2018-10-02T12:05:08+00:00","9.5",281,281,"USD"
"43","2018-09-29T14:54:25+00:00","9.5",300,300,"USD"
"44","2018-09-23T23:32:11+00:00","9.5",284,284,"USD"
"45","2018-09-23T00:42:45+00:00","9.5",284,284,"USD"
"46","2018-09-17T04:22:58+00:00","9.5",285,285,"USD"
"47","2018-09-11T22:52:45+00:00","9.5",275,275,"USD"
"48","2018-09-08T20:24:25+00:00","9.5",243,243,"USD"
"49","2018-09-02T00:41:08+00:00","9.5",260,260,"USD"
"50","2018-08-31T12:31:48+00:00","9.5",280,280,"USD"
"51","2018-08-29T03:14:55+00:00","9.5",290,290,"USD"
"52","2018-08-24T15:22:20+00:00","9.5",269,269,"USD"
"53","2018-08-23T01:32:37+00:00","9.5",260,260,"USD"
"54","2018-08-21T19:58:24+00:00","9.5",260,260,"USD"
"55","2018-08-20T16:42:45+00:00","9.5",203,203,"USD"
"56","2018-08-19T22:48:32+00:00","9.5",247,247,"USD"
"57","2018-08-19T04:14:51+00:00","9.5",260,260,"USD"
"58","2018-08-08T06:58:58+00:00","9.5",250,250,"USD"
"59","2018-08-06T12:33:00+00:00","9.5",280,280,"USD"
"60","2018-08-04T02:31:21+00:00","9.5",275,275,"USD"
"61","2018-07-31T01:29:45+00:00","9.5",270,270,"USD"
"62","2018-07-28T16:29:37+00:00","9.5",255,255,"USD"
"63","2018-07-19T19:42:52+00:00","9.5",297,297,"USD"
"64","2018-07-19T04:10:36+00:00","9.5",295,295,"USD"
"65","2018-07-18T02:33:00+00:00","9.5",275,275,"USD"
"66","2018-07-07T08:56:52+00:00","9.5",275,275,"USD"
"67","2018-07-07T02:08:35+00:00","9.5",270,270,"USD"
"68","2018-06-28T10:22:14+00:00","9.5",216,216,"USD"
"69","2018-06-28T01:18:14+00:00","9.5",250,250,"USD"
"70","2018-06-26T03:34:22+00:00","9.5",250,250,"USD"
"71","2018-06-25T16:49:26+00:00","9.5",217,217,"USD"
"72","2018-06-19T20:47:35+00:00","9.5",240,240,"USD"
"73","2018-06-19T20:19:14+00:00","9.5",236,236,"USD"
"74","2018-06-11T17:29:10+00:00","9.5",270,270,"USD"
"75","2018-06-07T15:10:00+00:00","9.5",265,265,"USD"
"76","2018-06-06T01:43:20+00:00","9.5",258,258,"USD"
"77","2018-06-05T18:20:53+00:00","9.5",250,250,"USD"
"78","2018-06-05T01:04:38+00:00","9.5",245,245,"USD"
"79","2018-06-02T04:25:48+00:00","9.5",245,245,"USD"
"80","2018-05-30T03:33:38+00:00","9.5",260,260,"USD"
"81","2018-05-30T03:33:24+00:00","9.5",260,260,"USD"
"82","2018-05-30T03:33:10+00:00","9.5",250,250,"USD"
"83","2018-05-29T04:51:43+00:00","9.5",235,235,"USD"
"84","2018-05-27T00:39:20+00:00","9.5",265,265,"USD"
"85","2018-05-26T22:36:28+00:00","9.5",200,200,"USD"
"86","2018-05-26T21:41:14+00:00","9.5",225,225,"USD"
"87","2018-05-26T21:28:57+00:00","9.5",227,227,"USD"
"88","2018-05-26T20:30:55+00:00","9.5",251,251,"USD"
"89","2018-05-26T20:27:25+00:00","9.5",252,252,"USD"
"90","2018-05-23T19:33:41+00:00","9.5",265,265,"USD"
"91","2018-05-23T02:42:48+00:00","9.5",252,252,"USD"
"92","2018-05-18T02:31:30+00:00","9.5",270,270,"USD"
"93","2018-05-17T22:31:46+00:00","9.5",270,270,"USD"
"94","2018-05-15T05:30:38+00:00","9.5",228,228,"USD"
"95","2018-05-14T21:44:14+00:00","9.5",255,255,"USD"
"96","2018-05-13T22:49:28+00:00","9.5",245,245,"USD"
"97","2018-05-10T11:46:45+00:00","9.5",235,235,"USD"
"98","2018-05-09T03:52:31+00:00","9.5",240,240,"USD"
"99","2018-05-09T01:51:38+00:00","9.5",244,244,"USD"
"100","2018-05-08T23:56:36+00:00","9.5",247,247,"USD"
"101","2018-05-03T03:18:17+00:00","9.5",250,250,"USD"
"102","2018-05-02T00:35:03+00:00","9.5",280,280,"USD"
"103","2018-05-02T00:33:13+00:00","9.5",270,270,"USD"
"104","2018-05-01T14:59:16+00:00","9.5",240,240,"USD"
"105","2018-04-30T12:51:55+00:00","9.5",240,240,"USD"
"106","2018-04-26T03:17:23+00:00","9.5",250,250,"USD"
"107","2018-04-25T00:59:36+00:00","9.5",256,256,"USD"
"108","2018-04-19T05:38:53+00:00","9.5",257,257,"USD"
"109","2018-04-17T22:32:43+00:00","9.5",270,270,"USD"
"110","2018-04-09T16:50:30+00:00","9.5",275,275,"USD"
"111","2018-04-03T18:12:43+00:00","9.5",280,280,"USD"
"112","2018-04-02T20:19:25+00:00","9.5",274,274,"USD"
"113","2018-03-30T18:43:52+00:00","9.5",288,288,"USD"
"114","2018-03-27T07:13:11+00:00","9.5",255,255,"USD"
"115","2018-03-26T01:04:31+00:00","9.5",265,265,"USD"
"116","2018-03-24T20:12:09+00:00","9.5",255,255,"USD"
"117","2018-03-22T04:16:54+00:00","9.5",260,260,"USD"
"118","2018-03-19T12:45:42+00:00","9.5",286,286,"USD"
"119","2018-03-17T18:35:09+00:00","9.5",255,255,"USD"
"120","2018-03-17T18:30:40+00:00","9.5",256,256,"USD"
"121","2018-03-17T18:29:45+00:00","9.5",260,260,"USD"
"122","2018-03-13T15:19:56+00:00","9.5",258,258,"USD"
"123","2018-03-12T19:07:03+00:00","9.5",258,258,"USD"
"124","2018-03-11T16:17:42+00:00","9.5",267,267,"USD"
"125","2018-03-08T18:06:51+00:00","9.5",258,258,"USD"
"126","2018-03-07T23:58:53+00:00","9.5",267,267,"USD"
"127","2018-03-07T02:22:42+00:00","9.5",257,257,"USD"
"128","2018-03-04T17:41:26+00:00","9.5",269,269,"USD"
"129","2018-03-03T08:40:32+00:00","9.5",262,262,"USD"
"130","2018-03-03T00:07:37+00:00","9.5",256,256,"USD"
"131","2018-03-02T11:11:52+00:00","9.5",262,262,"USD"
"132","2018-03-01T16:54:08+00:00","9.5",260,260,"USD"
"133","2018-03-01T03:17:45+00:00","9.5",264,264,"USD"
"134","2018-02-28T13:36:23+00:00","9.5",253,253,"USD"
"135","2018-02-26T18:01:23+00:00","9.5",250,250,"USD"
"136","2018-02-26T03:49:19+00:00","9.5",259,259,"USD"
"137","2018-02-26T02:47:23+00:00","9.5",255,255,"USD"
"138","2018-02-24T16:29:07+00:00","9.5",249,249,"USD"
"139","2018-02-20T19:01:57+00:00","9.5",250,250,"USD"
"140","2018-02-20T04:43:00+00:00","9.5",252,252,"USD"
"141","2018-02-19T23:34:42+00:00","9.5",255,255,"USD"
"142","2018-02-16T21:43:57+00:00","9.5",259,259,"USD"
"143","2018-02-16T03:38:25+00:00","9.5",259,259,"USD"
"144","2018-02-14T15:54:43+00:00","9.5",260,260,"USD"
"145","2018-02-11T18:46:37+00:00","9.5",270,270,"USD"
"146","2018-02-07T18:32:39+00:00","9.5",247,247,"USD"
"147","2018-02-05T21:23:31+00:00","9.5",248,248,"USD"
"148","2018-02-03T22:41:43+00:00","9.5",255,255,"USD"
"149","2018-01-28T22:56:36+00:00","9.5",254,254,"USD"
"150","2018-01-27T04:13:50+00:00","9.5",260,260,"USD"
"151","2018-01-27T00:27:05+00:00","9.5",345,345,"USD"
"152","2018-01-25T02:16:23+00:00","9.5",345,345,"USD"
"153","2018-01-22T03:55:36+00:00","9.5",345,345,"USD"
"154","2018-01-17T13:00:54+00:00","9.5",345,345,"USD"
"155","2018-01-16T00:48:52+00:00","9.5",249,249,"USD"
"156","2018-01-14T16:47:01+00:00","9.5",285,285,"USD"
"157","2018-01-14T16:00:12+00:00","9.5",345,345,"USD"
"158","2018-01-14T05:14:38+00:00","9.5",255,255,"USD"
"159","2018-01-12T16:10:44+00:00","9.5",250,250,"USD"
"160","2018-01-11T07:24:00+00:00","9.5",250,250,"USD"
"161","2018-01-08T22:53:09+00:00","9.5",330,330,"USD"
"162","2018-01-06T18:23:02+00:00","9.5",330,330,"USD"
"163","2018-01-06T09:09:53+00:00","9.5",300,300,"USD"
"164","2018-01-05T12:33:32+00:00","9.5",251,251,"USD"
"165","2018-01-03T18:50:50+00:00","9.5",251,251,"USD"
"166","2018-01-02T18:41:15+00:00","9.5",252,252,"USD"
"167","2018-01-02T15:22:09+00:00","9.5",252,252,"USD"
"168","2017-12-30T01:48:47+00:00","9.5",300,300,"USD"
"169","2017-12-23T03:41:16+00:00","9.5",344,344,"USD"
"170","2017-12-22T01:30:28+00:00","9.5",251,251,"USD"
"171","2017-12-20T16:02:19+00:00","9.5",345,345,"USD"
"172","2017-12-19T20:56:33+00:00","9.5",345,345,"USD"
"173","2017-12-19T03:05:51+00:00","9.5",345,345,"USD"
"174","2017-12-18T21:54:54+00:00","9.5",345,345,"USD"
"175","2017-12-18T00:47:40+00:00","9.5",300,300,"USD"
"176","2017-12-17T17:31:13+00:00","9.5",270,270,"USD"
"177","2017-12-16T13:09:34+00:00","9.5",270,270,"USD"
"178","2017-12-16T11:00:10+00:00","9.5",270,270,"USD"
"179","2017-12-15T20:18:24+00:00","9.5",270,270,"USD"
