"","Date","Time","Size","Price","Local_Amount","Currency","Name","Brand","Year","Month","Day","Number_Price"
"1",2018-12-15,"01:18:23+00:00","9.5",276,276,"USD","Air Jordan 4 Royalty","Nike","2018","12","15",276
"2",2018-12-11,"21:35:22+00:00","9.5",280,280,"USD","Air Jordan 4 Royalty","Nike","2018","12","11",280
"3",2018-12-10,"00:46:28+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","12","10",275
"4",2018-12-05,"00:29:49+00:00","9.5",291,291,"USD","Air Jordan 4 Royalty","Nike","2018","12","05",291
"5",2018-12-02,"15:40:30+00:00","9.5",285,285,"USD","Air Jordan 4 Royalty","Nike","2018","12","02",285
"6",2018-12-01,"02:39:45+00:00","9.5",283,283,"USD","Air Jordan 4 Royalty","Nike","2018","12","01",283
"7",2018-11-26,"01:49:32+00:00","9.5",350,350,"USD","Air Jordan 4 Royalty","Nike","2018","11","26",350
"8",2018-11-26,"01:48:35+00:00","9.5",341,341,"USD","Air Jordan 4 Royalty","Nike","2018","11","26",341
"9",2018-11-26,"01:48:11+00:00","9.5",325,325,"USD","Air Jordan 4 Royalty","Nike","2018","11","26",325
"10",2018-11-26,"01:47:47+00:00","9.5",298,298,"USD","Air Jordan 4 Royalty","Nike","2018","11","26",298
"11",2018-11-25,"15:11:03+00:00","9.5",243,243,"USD","Air Jordan 4 Royalty","Nike","2018","11","25",243
"12",2018-11-25,"14:49:16+00:00","9.5",266,266,"USD","Air Jordan 4 Royalty","Nike","2018","11","25",266
"13",2018-11-25,"14:46:21+00:00","9.5",269,269,"USD","Air Jordan 4 Royalty","Nike","2018","11","25",269
"14",2018-11-25,"14:22:23+00:00","9.5",271,271,"USD","Air Jordan 4 Royalty","Nike","2018","11","25",271
"15",2018-11-25,"14:13:42+00:00","9.5",272,272,"USD","Air Jordan 4 Royalty","Nike","2018","11","25",272
"16",2018-11-21,"19:08:36+00:00","9.5",325,325,"USD","Air Jordan 4 Royalty","Nike","2018","11","21",325
"17",2018-11-18,"22:26:36+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","11","18",275
"18",2018-11-16,"04:31:29+00:00","9.5",299,299,"USD","Air Jordan 4 Royalty","Nike","2018","11","16",299
"19",2018-11-16,"04:27:09+00:00","9.5",266,266,"USD","Air Jordan 4 Royalty","Nike","2018","11","16",266
"20",2018-11-15,"21:59:37+00:00","9.5",300,300,"USD","Air Jordan 4 Royalty","Nike","2018","11","15",300
"21",2018-11-09,"03:55:52+00:00","9.5",300,300,"USD","Air Jordan 4 Royalty","Nike","2018","11","09",300
"22",2018-11-06,"06:09:02+00:00","9.5",290,290,"USD","Air Jordan 4 Royalty","Nike","2018","11","06",290
"23",2018-11-05,"17:56:35+00:00","9.5",258,258,"USD","Air Jordan 4 Royalty","Nike","2018","11","05",258
"24",2018-11-04,"04:43:48+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","11","04",275
"25",2018-11-03,"03:26:39+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","11","03",275
"26",2018-11-02,"16:44:38+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","11","02",260
"27",2018-11-02,"14:49:22+00:00","9.5",259,259,"USD","Air Jordan 4 Royalty","Nike","2018","11","02",259
"28",2018-11-01,"01:20:45+00:00","9.5",258,258,"USD","Air Jordan 4 Royalty","Nike","2018","11","01",258
"29",2018-10-31,"21:58:43+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","10","31",260
"30",2018-10-28,"12:44:15+00:00","9.5",263,263,"USD","Air Jordan 4 Royalty","Nike","2018","10","28",263
"31",2018-10-25,"08:47:57+00:00","9.5",270,270,"USD","Air Jordan 4 Royalty","Nike","2018","10","25",270
"32",2018-10-25,"00:57:18+00:00","9.5",271,271,"USD","Air Jordan 4 Royalty","Nike","2018","10","25",271
"33",2018-10-20,"23:29:45+00:00","9.5",298,298,"USD","Air Jordan 4 Royalty","Nike","2018","10","20",298
"34",2018-10-15,"16:45:01+00:00","9.5",297,297,"USD","Air Jordan 4 Royalty","Nike","2018","10","15",297
"35",2018-10-14,"16:21:37+00:00","9.5",299,299,"USD","Air Jordan 4 Royalty","Nike","2018","10","14",299
"36",2018-10-13,"20:56:50+00:00","9.5",278,278,"USD","Air Jordan 4 Royalty","Nike","2018","10","13",278
"37",2018-10-11,"23:19:46+00:00","9.5",279,279,"USD","Air Jordan 4 Royalty","Nike","2018","10","11",279
"38",2018-10-11,"19:02:51+00:00","9.5",295,295,"USD","Air Jordan 4 Royalty","Nike","2018","10","11",295
"39",2018-10-09,"19:29:54+00:00","9.5",280,280,"USD","Air Jordan 4 Royalty","Nike","2018","10","09",280
"40",2018-10-07,"19:33:23+00:00","9.5",285,285,"USD","Air Jordan 4 Royalty","Nike","2018","10","07",285
"41",2018-10-05,"04:10:50+00:00","9.5",280,280,"USD","Air Jordan 4 Royalty","Nike","2018","10","05",280
"42",2018-10-02,"12:05:08+00:00","9.5",281,281,"USD","Air Jordan 4 Royalty","Nike","2018","10","02",281
"43",2018-09-29,"14:54:25+00:00","9.5",300,300,"USD","Air Jordan 4 Royalty","Nike","2018","09","29",300
"44",2018-09-23,"23:32:11+00:00","9.5",284,284,"USD","Air Jordan 4 Royalty","Nike","2018","09","23",284
"45",2018-09-23,"00:42:45+00:00","9.5",284,284,"USD","Air Jordan 4 Royalty","Nike","2018","09","23",284
"46",2018-09-17,"04:22:58+00:00","9.5",285,285,"USD","Air Jordan 4 Royalty","Nike","2018","09","17",285
"47",2018-09-11,"22:52:45+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","09","11",275
"48",2018-09-08,"20:24:25+00:00","9.5",243,243,"USD","Air Jordan 4 Royalty","Nike","2018","09","08",243
"49",2018-09-02,"00:41:08+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","09","02",260
"50",2018-08-31,"12:31:48+00:00","9.5",280,280,"USD","Air Jordan 4 Royalty","Nike","2018","08","31",280
"51",2018-08-29,"03:14:55+00:00","9.5",290,290,"USD","Air Jordan 4 Royalty","Nike","2018","08","29",290
"52",2018-08-24,"15:22:20+00:00","9.5",269,269,"USD","Air Jordan 4 Royalty","Nike","2018","08","24",269
"53",2018-08-23,"01:32:37+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","08","23",260
"54",2018-08-21,"19:58:24+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","08","21",260
"55",2018-08-20,"16:42:45+00:00","9.5",203,203,"USD","Air Jordan 4 Royalty","Nike","2018","08","20",203
"56",2018-08-19,"22:48:32+00:00","9.5",247,247,"USD","Air Jordan 4 Royalty","Nike","2018","08","19",247
"57",2018-08-19,"04:14:51+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","08","19",260
"58",2018-08-08,"06:58:58+00:00","9.5",250,250,"USD","Air Jordan 4 Royalty","Nike","2018","08","08",250
"59",2018-08-06,"12:33:00+00:00","9.5",280,280,"USD","Air Jordan 4 Royalty","Nike","2018","08","06",280
"60",2018-08-04,"02:31:21+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","08","04",275
"61",2018-07-31,"01:29:45+00:00","9.5",270,270,"USD","Air Jordan 4 Royalty","Nike","2018","07","31",270
"62",2018-07-28,"16:29:37+00:00","9.5",255,255,"USD","Air Jordan 4 Royalty","Nike","2018","07","28",255
"63",2018-07-19,"19:42:52+00:00","9.5",297,297,"USD","Air Jordan 4 Royalty","Nike","2018","07","19",297
"64",2018-07-19,"04:10:36+00:00","9.5",295,295,"USD","Air Jordan 4 Royalty","Nike","2018","07","19",295
"65",2018-07-18,"02:33:00+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","07","18",275
"66",2018-07-07,"08:56:52+00:00","9.5",275,275,"USD","Air Jordan 4 Royalty","Nike","2018","07","07",275
"67",2018-07-07,"02:08:35+00:00","9.5",270,270,"USD","Air Jordan 4 Royalty","Nike","2018","07","07",270
"68",2018-06-28,"10:22:14+00:00","9.5",216,216,"USD","Air Jordan 4 Royalty","Nike","2018","06","28",216
"69",2018-06-28,"01:18:14+00:00","9.5",250,250,"USD","Air Jordan 4 Royalty","Nike","2018","06","28",250
"70",2018-06-26,"03:34:22+00:00","9.5",250,250,"USD","Air Jordan 4 Royalty","Nike","2018","06","26",250
"71",2018-06-25,"16:49:26+00:00","9.5",217,217,"USD","Air Jordan 4 Royalty","Nike","2018","06","25",217
"72",2018-06-19,"20:47:35+00:00","9.5",240,240,"USD","Air Jordan 4 Royalty","Nike","2018","06","19",240
"73",2018-06-19,"20:19:14+00:00","9.5",236,236,"USD","Air Jordan 4 Royalty","Nike","2018","06","19",236
"74",2018-06-11,"17:29:10+00:00","9.5",270,270,"USD","Air Jordan 4 Royalty","Nike","2018","06","11",270
"75",2018-06-07,"15:10:00+00:00","9.5",265,265,"USD","Air Jordan 4 Royalty","Nike","2018","06","07",265
"76",2018-06-06,"01:43:20+00:00","9.5",258,258,"USD","Air Jordan 4 Royalty","Nike","2018","06","06",258
"77",2018-06-05,"18:20:53+00:00","9.5",250,250,"USD","Air Jordan 4 Royalty","Nike","2018","06","05",250
"78",2018-06-05,"01:04:38+00:00","9.5",245,245,"USD","Air Jordan 4 Royalty","Nike","2018","06","05",245
"79",2018-06-02,"04:25:48+00:00","9.5",245,245,"USD","Air Jordan 4 Royalty","Nike","2018","06","02",245
"80",2018-05-30,"03:33:38+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","05","30",260
"81",2018-05-30,"03:33:24+00:00","9.5",260,260,"USD","Air Jordan 4 Royalty","Nike","2018","05","30",260
